Arrondissement,Income (€ / UC),Category
Paris 7e (75007),4358,High
Paris 8e (75008),4255,High
Paris 6e (75006),3926,High
Paris 16e (75016),3926,High
Paris 5e (75005),3313,High
Paris 1er (75001),3247,High
Paris 3e (75003),3207,High
Paris 2e (75002),3122,High
Paris 17e (75017),3050,High
Paris 19e (75019),1887,Low
Paris 20e (75020),1970,Low
Paris 18e (75018),2135,Low
Paris 13e (75013),2188,Low
Paris 14e (75014),2387,Low
Paris 10e (75010),2618,Low
Paris 11e (75011),2700,Low
Paris 15e (75015),2657,Low
Paris 4e (75004),3004,Low
