Code Officiel Région;Nom Officiel Région;Code Officiel Commune / Arrondissement Municipal;Nom Officiel Commune / Arrondissement Municipal;Population municipale;Population comptée à part;Population totale;Code Officiel Département;Code Officiel Arrondissement Départemental;Année de recensement;Année d’entrée en vigueur;Année de référence géographique;Nom Officiel EPCI;Code Officiel EPCI;Nom Officiel Département
11;Île-de-France;75106;Paris 6e Arrondissement;39625;827;40452;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75114;Paris 14e Arrondissement;133967;959;134926;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75113;Paris 13e Arrondissement;177833;1180;179013;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75110;Paris 10e Arrondissement;83459;414;83873;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75118;Paris 18e Arrondissement;191135;776;191911;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75112;Paris 12e Arrondissement;140311;964;141275;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75102;Paris 2e Arrondissement;21130;147;21277;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75104;Paris 4e Arrondissement;29064;262;29326;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75111;Paris 11e Arrondissement;144292;832;145124;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;183211;945;184156;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75101;Paris 1er Arrondissement;16030;119;16149;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75103;Paris 3e Arrondissement;33402;249;33651;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75120;Paris 20e Arrondissement;192120;924;193044;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75115;Paris 15e Arrondissement;229472;1714;231186;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75109;Paris 9e Arrondissement;60168;616;60784;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75108;Paris 8e Arrondissement;35631;587;36218;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75105;Paris 5e Arrondissement;57380;670;58050;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75107;Paris 7e Arrondissement;48520;780;49300;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75116;Paris 16e Arrondissement;162820;2298;165118;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75117;Paris 17e Arrondissement;166336;1429;167765;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
