fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"1","0100401",E,irregular,4.44,0.173,1102,0.38566,5.27,0.26,26.5,12.04,32.1739,5.64,0.52,24.257,0.0231,0.449999999999999,17.0415,0.0437,0.97,41.2985,0.0571,15.63,20.38,40.57,51.71,14
"2","0103302",S,irregular,4.53,0.1595,1717.01,0.44875,5.96,0.3217,25.29,11.41,74.9199,6.42,0.26,0.437,1,0.45,8.2886,0.1399,0.71,8.7256,0.3082,18.23,15.85,30.79,57.06,14
"3","0105301",E,irregular,4.28,0.1489,5202.8,0.05717,9.4,0.26,26.5,12.04,32.1739,7.63,2.09,28.444,0.3742,1.11,9.7395,0.89,3.2,38.1835,0.9617,22.56,15.6,60.87,48.01,19
"4","0105302",E,regular,4.37,0.16,3594.44,0.07701,5.77,0.26,26.5,12.04,32.1739,6.73,2.09,40.896,0.1798,0.73,9.7835,0.4025,2.82,50.6795,0.4411,18.54,16.6,48.61,36.22,14
"5","0105303",E,irregular,4.54,0.1545,3543.26,0.05929,6.61,0.26,26.5,12.04,32.1739,7.55,2.09,37.281,0.1944,1,10.2446,0.5191,3.1,47.5256,0.5098,20.91,14.27,52.33,36.27,17
"6","0105305",E,irregular,4.56,0.1659,2916.33,0.18594,5.46,0.26,26.5,12.04,32.1739,6.75,1.57,43.834,0.1022,0.59,11.6548,0.2216,2.16,55.4888,0.2504,22.19,20.99,43.79,28.85,14
"7","0105306",E,irregular,4.6,0.1734,1993.2,0.2227,5.84,0.26,26.5,12.04,32.1739,6.43,1.31,52.087,0.0491,0.73,17.6789,0.1235,2.04,69.7659,0.1286,22.62,24.27,40.9,31.75,16
"8","0128301",SW,irregular,4.62,0.1708,5918.49,0.20746,7.22,0.26,26.5,12.04,32.1739,6.79,1.31,19.562,0.388,0.59,5.2409,1,1.9,24.8029,1,15.73,30.28,27.11,42.59,13
"9","0216801",E,irregular,4.39,0.1432,3388.62,0.20854,8.24,0.1712,22.28,9.88,52.54,6.79,1.31,20.13,0.1309,0.87,6.6478,0.1238,2.18,26.7778,0.1327,18.94,22.11,53.24,57.61,17
"10","0216805",E,irregular,4.27,0.1485,5621.88,0.14717,6.77,0.1712,22.28,9.88,52.54,7.4,1.84,6.563,0.9352,0.73,1.5255,0.7508,2.56,8.0885,0.8557,13.42,37.91,31.49,65.12,18
